iter	Passed	Remaining
0	149	149793
1	151	75473
2	152	50699
3	154	38426
4	156	31123
5	157	26144
6	159	22657
7	161	20026
8	162	17935
9	164	16256
10	165	14876
11	166	13736
12	168	12771
13	170	11975
14	172	11336
15	174	10706
16	175	10131
17	176	9631
18	177	9171
19	178	8754
20	180	8398
21	181	8069
22	182	7753
23	184	7490
24	185	7245
25	187	7011
26	188	6798
27	189	6594
28	191	6403
29	192	6218
30	193	6053
31	194	5893
32	196	5747
33	197	5610
34	198	5475
35	199	5355
36	201	5234
37	202	5114
38	203	5010
39	204	4910
40	205	4811
41	206	4715
42	208	4632
43	209	4545
44	210	4460
45	211	4378
46	212	4310
47	213	4240
48	215	4175
49	216	4104
50	217	4045
51	218	3986
52	219	3929
53	221	3875
54	222	3820
55	223	3766
56	224	3721
57	226	3673
58	227	3626
59	228	3579
60	229	3534
61	230	3494
62	232	3451
63	233	3408
64	233	3365
65	234	3325
66	236	3287
67	237	3249
68	238	3212
69	239	3179
70	240	3145
71	241	3113
72	243	3088
73	244	3062
74	246	3038
75	248	3015
76	249	2988
77	250	2962
78	251	2934
79	252	2906
80	253	2879
81	255	2856
82	255	2825
83	258	2813
84	259	2798
85	261	2779
86	263	2761
87	264	2740
88	265	2717
89	266	2695
90	267	2673
91	268	2654
92	270	2634
93	271	2615
94	272	2598
95	273	2579
96	275	2560
97	276	2544
98	277	2525
99	278	2507
100	279	2490
101	280	2471
102	281	2453
103	282	2436
104	283	2419
105	284	2403
106	286	2386
107	287	2370
108	288	2355
109	289	2340
110	290	2325
111	291	2313
112	293	2301
113	294	2286
114	295	2273
115	296	2260
116	297	2245
117	298	2233
118	299	2219
119	300	2207
120	302	2195
121	303	2181
122	304	2169
123	305	2159
124	307	2151
125	308	2141
126	309	2129
127	311	2120
128	312	2109
129	313	2100
130	315	2089
131	315	2077
132	316	2065
133	317	2054
134	318	2043
135	320	2033
136	321	2026
137	323	2020
138	324	2013
139	326	2006
140	328	1999
141	329	1989
142	330	1980
143	331	1972
144	332	1962
145	333	1953
146	335	1944
147	336	1936
148	338	1930
149	339	1924
150	341	1918
151	342	1911
152	343	1903
153	345	1896
154	346	1889
155	347	1880
156	348	1871
157	349	1864
158	351	1859
159	353	1856
